word,meaning,mnemonic,image,video,example,synonyms,antonyms,difficulty,category,setIds
umbrage,a feeling of anger caused by being offended,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Since he was so in love with her, he took umbrage at her comments, even though she had only meant to gently tease him.",,,medium,academic,gre
fecund,intellectually productive,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The artist had entered a fecund period, producing three masterpieces in the span of two months.",,,medium,academic,gre
renege,fail to fulfill a promise or obligation,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,We will no longer work with that vendor since it has reneged on nearly every agreement.,,,medium,academic,gre
ornate,marked by elaborate rhetoric and elaborated with decorative details,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The ornate Victorian and Edwardian homes spread throughout San Francisco are my favorite part of the city.,,,medium,academic,gre
impute,attribute (responsibility or fault) to something,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,He imputed his subpar performance on the test to a combination of stress and poor sleep.,,,medium,academic,gre
urbane,showing a high degree of refinement and the assurance that comes from wide social experience,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Because of his service as an intelligence officer and his refined tastes, W. Somerset Maugham became the inspiration for the urbane and sophisticate spy James Bond.",,,medium,academic,gre
plodding,(of movement) slow and laborious,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Charlie may seem to run at a plodding pace, but he is an ultramarathoner, meaning he runs distances of up to 100 miles, and can run for ten hours at a stretch.",,,medium,academic,gre
row,an angry dispute,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The Prime Minister looked very foolish after his row with the foreign dignitary was caught on video and posted on youtube.,,,medium,academic,gre
cow,to intimidate,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Do not be cowed by a 3,000-word vocabulary list: turn that list into a deck of flashcards!",,,medium,academic,gre
sangfroid,calmness or poise in difficult situations,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The hostage negotiator exhibited a sangfroid that oftentimes was more menacing than the sword at his throat, or the gun at his head.",,,medium,academic,gre
wanton,"without check or limitation; showing no moral restraints to one's anger, desire, or appetites",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Due to wanton behavior and crude language, the drunk man was thrown out of the bar and asked to never return.",,,medium,academic,gre
acerbic,harsh in tone,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Most movie critics are acerbic towards summer blockbusters, often referring to them as garbage.",,,medium,academic,gre
behoove,to be one's duty or obligation,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The teacher looked down at the student and said, ""It would behoove you to be in class on time and complete your homework, so that you don't repeat freshman English for a third straight year.""",,,medium,academic,gre
vacuous,"devoid of intelligence, matter, or significance",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"To the journalist's pointed question, the senator gave a vacuous response, mixing a few of his overall campaign slogans with platitudes and completely avoiding the controversial subject of the question.",,,medium,academic,gre
assuage,make something intense less severe,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Her fear that the new college would be filled with unknown faces was assuaged when she recognized her childhood friend standing in line.,,,medium,academic,gre
excoriate,to criticize very harshly,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Entrusted with the prototype to his company’s latest smartphone, Larry, during a late night karaoke bout, let the prototype slip into the hands of a rival company—the next day Larry was excoriated, and then fired.",,,medium,academic,gre
invective,abusive or denunciatory language,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The Internet has unleashed the invectives in many of us; many people post stinging criticism on the comments section underneath newspaper articles or YouTube videos.,,,medium,academic,gre
ostracize,exclude from a community or group,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Later in his life, Leo Tolstoy was ostracized from the Russian Orthodox Church for his writings that contradicted church doctrine.",,,medium,academic,gre
aplomb,great coolness and composure under strain,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Nancy acted with aplomb during dangerous situations--she once calmly climbed up an oak tree to save a cat.,,,medium,academic,gre
obstinate,resistant to guidance or discipline; stubbornly persistent,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The coach suggested improvements Sarah might make on the balance beam, but she remained obstinate, unwilling to modify any of the habits that made her successful in the past.",,,medium,academic,gre
rankle,gnaw into; make resentful or angry,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"His constant whistling would rankle her, sometimes causing her to leave in a huff.",,,medium,academic,gre
vicissitude,"change in one’s circumstances, usually for the worse",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Even great rulers have their vicissitudes—massive kingdoms have diminished overnight, and once beloved kings have faced the scorn of angry masses.",,,medium,academic,gre
analogous,similar in some respects but otherwise different,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"In many ways, the Internet's transformative effect on society has been analogous to that of the printing press.",,,medium,academic,gre
immutable,not able to be changed,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Taxes are one of the immutable laws of the land, so there is no use arguing about paying them.",,,medium,academic,gre
tenacious,stubbornly unyielding,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Even the most tenacious advocates for gun ownership must admit some of the dangers that firearms present.,,,medium,academic,gre
impertinent,being disrespectful; improperly forward or bold,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Dexter, distraught over losing his pet dachshund, Madeline, found the police officer’s questions impertinent—after all, he thought, did she have to pry into such details as to what Madeline’s favorite snack was?",,,medium,academic,gre
equivocal,confusing or ambiguous,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The findings of the study were equivocal—the two researchers had different opinions on what the results signified.,,,medium,academic,gre
iconoclastic,defying tradition or convention,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Jackson Pollack was an iconoclastic artist, totally breaking with tradition by splashing paint on a blank canvas.",,,medium,academic,gre
superfluous,serving no useful purpose,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"How can we hope to stay open if we don't eliminate all superfluous spending, like catered meetings and free acupuncture Tuesday?",,,medium,academic,gre
facetious,cleverly amusing in tone,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Facetious behavior will not be tolerated during sex education class; it's time for all of you to treat these matters like mature adults.,,,medium,academic,gre
amorphous,shapeless,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,His study plan for the GRE was at best amorphous; he would do questions from random pages in any one of seven test prep books.,,,medium,academic,gre
economical,"avoiding waste, efficient",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Journalists favor an economical style of writing, in which no unnecessary words are used and every sentence is as short as possible.",,,medium,academic,gre
crestfallen,brought low in spirit,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,I asked Maria on a date and she refused without a moment's thought; I was crestfallen.,,,medium,academic,gre
corollary,a practical consequence that follows naturally,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"A corollary of Hurricane Sandy, which ravaged the east coast of the U.S., is a push to build higher sea walls to protect against future hurricanes.",,,medium,academic,gre
candid,a straightforward and honest look at something,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Even with a perfect stranger, Charles was always candid and would rarely hold anything back.",,,medium,academic,gre
prognostication,a statement made about the future,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"When the Senator was asked about where the negotiations would lead, he said that any guess he could make would be an unreliable prognostication.",,,medium,academic,gre
underscore,give extra weight to (a communication),,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"While the hiking instructor agreed that carrying a first aid kit could be a good idea under certain circumstances, he underscored the importance of carrying enough water.",,,medium,academic,gre
begrudge,to envy someone for possessing or enjoying something,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Sitting all alone in his room, Harvey begrudged the happiness of the other children playing outside his window.",,,medium,academic,gre
implausible,describing a statement that is not believable,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The teacher found it implausible that the student was late to school because he had been kidnapped by outlaws on horseback.,,,medium,academic,gre
gainsay,deny or contradict; speak against or oppose,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"I can't gainsay a single piece of evidence James has presented, but I still don't trust his conclusion.",,,medium,academic,gre
snide,expressive of contempt; derogatory or mocking in an indirect way,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The chairman interpreted Taylor's question about promotions as a snide remark, but in all innocence Taylor was trying to figure out the company's process.",,,medium,academic,gre
protean,readily taking on different roles; versatile,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Peter Sellers was truly a protean actor—in Doctor Strangelove he played three very different roles: a jingoist general, a sedate President and a deranged scientist.",,,medium,academic,gre
sentimental,"effusively or insincerely emotional, especially in art, music, and literature",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,I don't like romanticism for the same reason I don't like melodramatic acting and soap operas—overly sentimental.,,,medium,academic,gre
augment,enlarge or increase; improve,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Ideally, the restaurant's augmented menu will expand its clientele and increase its profits.",,,medium,academic,gre
fawn,try to gain favor by extreme flattery,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The media fawned over the handsome new CEO, praising his impeccable sense of style instead of asking more pointed questions.",,,medium,academic,gre
excruciating,extremely painful,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"After the boulder rolled a couple of feet, pinning my friend's arm, he experienced excruciating pain.",,,medium,academic,gre
mercurial,(of a person) prone to unexpected and unpredictable changes in mood,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The fact that Ella’s moods were as mercurial as the weather was problematic for her relationships—it didn’t help that she lived in Chicago.,,,medium,academic,gre
harried,troubled persistently especially with petty annoyances,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"With a team of new hires to train, Martha was constantly harried with little questions and could not focus on her projects.",,,medium,academic,gre
discrete,constituting a separate entity or part,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"What was once known as Czechoslovakia has since split into two discrete, independent nations.",,,medium,academic,gre
invidious,likely to cause resentment,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"At a time when many others in the office were about to be laid off, many considered Cheryl's fine clothes that day an invidious display.",,,medium,academic,gre
delegate,give an assignment to (a person),,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Since the senior manager had to go on many international business trips, she was forced to delegate many of her responsibilities to two lower-level managers.",,,medium,academic,gre
burgeon,grow and flourish,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"China's housing market is burgeoning, but some predict that the growth is merely a bubble and will burst much like the U.S. real estate bubble of 2008.",,,medium,academic,gre
venality,the condition of being susceptible to bribes or corruption,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Even some of the most sacred sporting events are not immune to venality, as many of the officials have received substantial bribes to make biased calls.",,,medium,academic,gre
vanquish,"come out better in a competition, race, or conflict",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"For years, Argentina would dominate in World Cup qualifying matches, only to be vanquished by one of the European countries during the late stages of the tournament.",,,medium,academic,gre
veritable,"truthfully, without a doubt",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Frank is a veritable life-saver -- last year, on two different occasions, he revived people using CPR.",,,medium,academic,gre
pragmatic,guided by practical experience and observation rather than theory,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Rather than make a philosophical appeal to the Congressmen, the Speaker decided to take a far more pragmatic approach, making small side-deals that would add votes to his bill.",,,medium,academic,gre
colossal,so great in size or force or extent as to elicit awe,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Few appreciate the colossal scale of the sun: if hollow, it could contain a million Earths.",,,medium,academic,gre
enjoin,give instructions to or direct somebody to do something with authority,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The government agency enjoined the chemical company to clean up the hazardous dump it had created over the years.,,,medium,academic,gre
ravenous,extremely hungry; devouring or craving food in great quantities,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"John didn't eat much at all during the week he had the flu, so now that he is regaining his health, it's not surprising that he has a ravenous appetite.",,,medium,academic,gre
affable,likeable; easy to talk to,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"For all his surface affability, Marco was remarkably glum when he wasn’t around other people.",,,medium,academic,gre
hubris,overbearing pride or presumption,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Bill Clinton was criticized for his hubris, since he believed he could get away with anything once in the White House.",,,medium,academic,gre
destitute,poor enough to need help from others,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Jean Valjean, is at first destitute, but through the grace of a priest, he makes something of his life.",,,medium,academic,gre
hamper,prevent the progress or free movement of,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"As the rain water began to collect in pools on the highway, it began to hamper the flow of traffic.",,,medium,academic,gre
ersatz,not real or genuine; phony,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The car dealer's ersatz laughter was immediately followed by a price quote, one that Shelley found highly inflated.",,,medium,academic,gre
reconcile,make (one thing) compatible with (another),,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Peggy was unable to reconcile her kind friend Jane with the cruel and merciless character Jane played on television.,,,medium,academic,gre
pittance,a small amount (of money),,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Vinny’s uncle beamed smugly about how he’d offered his nephew fifty dollars for his Harvard tuition; even twice the amount would have been a mere pittance.,,,medium,academic,gre
entrenched,fixed firmly or securely,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"By the time we reach 60-years old, most of our habits are so entrenched that it is difficult for us to change.",,,medium,academic,gre
opaque,not clearly understood or expressed,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The meaning of the professor's new research was opaque to most people, so no one asked any questions.",,,medium,academic,gre
ribald,humorously vulgar,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The speaker was famous for his ribald humor, but the high school principal asked him to keep the talk G-rated when he spoke to the student body.",,,medium,academic,gre
intimate,to suggest something subtly,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"At first Manfred’s teachers intimated to his parents that he was not suited to skip a grade; when his parents protested, teachers explicitly told them that, notwithstanding the boy’s precocity, he was simply too immature to jump to the 6th grade.",,,medium,academic,gre
jocular,characterized by jokes and good humor,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"My uncle was always in a jocular mood at family gatherings, messing up people's hair and telling knock-knock jokes to anyone who would listen.",,,medium,academic,gre
exacerbate,make worse,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Her sleeplessness exacerbated her cold--when she woke up the next day, her sinuses were completely blocked.",,,medium,academic,gre
decry,express strong disapproval of,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The entire audience erupted in shouts and curses, decrying the penalty card issued by the referee.",,,medium,academic,gre
irrevocable,incapable of being retracted or revoked,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Once you enter your plea to the court, it is irrevocable so think carefully about what you will say.",,,medium,academic,gre
cadaverous,emaciated; gaunt,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Some actors take challenging roles in which they have to lose so much weight that they appear cadaverous.,,,medium,academic,gre
commensurate,to be in proportion or corresponding in degree or amount,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The convicted felon’s life sentence was commensurate to the heinousness of his crime.,,,medium,academic,gre
maverick,someone who exhibits great independence in thought and action,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Officer Kelly was a maverick, rarely following police protocols or adopting the conventions for speech common among his fellow officers.",,,medium,academic,gre
paradoxical,seemingly contradictory but nonetheless possibly true,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"That light could be both a particle and a wave seems paradoxical, but nonetheless, it is true.",,,medium,academic,gre
melancholy,"a deep, long-lasting sadness",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Hamlet is a figure of tremendous melancholy: he doesn't have a truly cheerful scene throughout the entire play.,,,medium,academic,gre
evanescent,tending to vanish like vapor,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The storm flashed into existence above us and lasted only a short time—an evanescent turbulence of wind and cloud.,,,medium,academic,gre
avert,turn away,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Afraid to see the aftermath of the car crash, I averted my eyes as we drove by.",,,medium,academic,gre
efficacious,producing the intended result,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Since Maggie's cough syrup, which had expired five years back, was no longer efficacious, she coughed through the night.",,,medium,academic,gre
amalgam,a mixture of multiple things,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The band’s music was an amalgam of hip-hop, flamenco and jazz, blending the three styles with surprising results.",,,medium,academic,gre
rudimentary,being in the earliest stages of development; being or involving basic facts or principles,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"I would love to be able to present a fully polished proposal to the board, but right now, our plans for the product are still in the most rudimentary stages.",,,medium,academic,gre
ingratiate,gain favor with somebody by deliberate efforts,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Even though Tom didn't like his new boss, he decided to ingratiate himself to her in order to advance his career.",,,medium,academic,gre
cosset,treat with excessive indulgence,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"The king and queen cosseted the young prince, giving him a prized miniature pony for his fifth birthday.",,,medium,academic,gre
unseemly,not in keeping with accepted standards of what is right or proper in polite society,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"He acted in an unseemly manner, insulting the hostess and then speaking ill of her deceased husband.",,,medium,academic,gre
peripatetic,traveling by foot,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Jim always preferred a peripatetic approach to discovering a city: he felt that he could see so many more details while walking.,,,medium,academic,gre
mellifluous,smooth and sweet-sounding,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Chelsea’s grandmother thought Franz Schubert’s music to be the most mellifluous ever written; Chelsea demurred, and to her grandmother’s chagrin, would blast Rihanna on the home stereo speakers.",,,medium,academic,gre
bowdlerize,edit by omitting or modifying parts considered indelicate,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"To receive an R rating, the entire movie was bowdlerized because it contained so much violence and grotesque subject matter.",,,medium,academic,gre
ingenuous,to be naïve and innocent,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Two-years in Manhattan had changed Jenna from an ingenuous girl from the suburbs to a jaded urbanite, unlikely to fall for any ruse, regardless of how elaborate.",,,medium,academic,gre
stipend,a regular allowance (of money),,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"He was hoping for a monthly allowance loan from the government, but after no such stipend was forthcoming he realized he would have to seek other means of paying for his college tuition.",,,medium,academic,gre
insouciance,lack of concern,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Surprisingly, Hank had become a high-powered CEO; his high school friends remembered him as ""Hanky Panky"", who shrugged off each failed class with insouciance.",,,medium,academic,gre
miser,a person who doesn't like to spend money (because they are greedy),,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Monte was no miser, but was simply frugal, wisely spending the little that he earned.",,,medium,academic,gre
buck,resist,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The profits at our firm bucked the general downturn that affected the real estate industry.,,,medium,academic,gre
enmity,a state of deep-seated ill-will,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Charles rude remark toward Sarah yesterday was due to his illness, not due to any real enmity toward Sarah.",,,medium,academic,gre
involved,"complicated, and difficult to comprehend",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The physics lecture became so involved that the undergraduate’s eyes glazed over.,,,medium,academic,gre
eke,"To live off meager resources, to scrape by",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Stranded in a cabin over the winter, Terry was able to eke out an existence on canned food.",,,medium,academic,gre
culminate,reach the highest or most decisive point,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Beethoven's musical genius culminated in the 9th Symphony, which many consider his greatest work.",,,medium,academic,gre
avaricious,excessively greedy,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Since avaricious desire is similar to gluttony or lust--sins of excess--it was listed as one of the seven deadly sins by the Catholic church.,,,medium,academic,gre
disenfranchise,deprive of voting rights,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The U.S. Constitution disenfranchised women until 1920 when they were given the right to vote.,,,medium,academic,gre
exacting,requiring and demanding accuracy,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Though his childhood piano teacher was so exacting, Max is thankful now, as a professional pianist.",,,medium,academic,gre
ignominious,(used of conduct or character) deserving or bringing disgrace or shame,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Since the politician preached ethics and morality, his texting of revealing photographs was ignominious, bringing shame on both himself and his party.",,,medium,academic,gre
maunder,wander aimlessly,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Max liked to maunder down by the seaside and pick up whatever sea shells he would stumble upon.,,,medium,academic,gre
commendable,worthy of high praise,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The efforts of the firefighters running into the burning building were commendable.,,,medium,academic,gre
whimsical,determined by impulse or whim rather than by necessity or reason,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Adults look to kids and envy their whimsical nature at times, wishing that they could act without reason and play without limitation.",,,medium,academic,gre
implacable,incapable of making less angry or hostile,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Win or lose, the coach was always implacable, never giving the athletes an easy practice or a break.",,,medium,academic,gre
empathetic,showing understanding and ready comprehension of other peoples' states and emotions,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,Most discrimination and hatred is based on a lack of empathetic awareness of people that have the same aspirations and fears.,,,medium,academic,gre
machinate,"engage in plotting or enter into a conspiracy, swear together",,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,The rebels met at night in an abandoned barn to machinate.,,,medium,academic,gre
insolent,rude and arrogant,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Lilian could not help herself from being insolent, commenting that the Queen's shoes were showing too much toe.",,,medium,academic,gre
vie,compete for something,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"While the other teams in the division actively vie for the championship, this team seems content simply to go through the motions of playing.",,,medium,academic,gre
erudite,having or showing profound knowledge,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Before the Internet, the library was typically where you would find erudite readers.",,,medium,academic,gre
paragon,model of excellence or perfection of a kind; one having no equal,,,https://storage.googleapis.com/word_vocabulary/words/lucid/movie.mov,"Even with the rise of Kobe Bryant, many still believe that Michael Jordon is the paragon for basketball players.",,,medium,academic,gre
